"","identified_name","isomer","feature","feature_mode","feature_mz","feature_rt","library_mode","library_mz","library_rt","adduct","kegg_id","mz_error_ppm","rt_error_sec","rt_error_abs_sec","unique_match","MMD"
"1","3-HYDROXYBUTANOIC ACID",NA,"C18_103.0401_55.4","C18",103.0401,55.4,"C18",103.040024,63.533898,"M-H","C01089",0.737577467886261,-8.133898,8.133898,TRUE,""
"2","m-Cresol",NA,"C18_107.0503_138.1","C18",107.0503,138.1,"C18",107.050239,136.9,"M-H","C01467",0.569825911253672,1.19999999999999,1.19999999999999,TRUE,""
"3","FORMATE",NA,"C18_112.9857_50.6","C18",112.9857,50.6,"C18",112.985664,52.425714,"M-H+HCOONa","C00058",0.318624493762092,-1.825714,1.825714,TRUE,""
"4","Levulinic acid",NA,"C18_115.0402_58.3","C18",115.0402,58.3,"C18",115.040068,59.6,"M-H",NA,1.14742630362129,-1.3,1.3,TRUE,""
"5","Isocaproic acid",NA,"C18_115.0765_153.3","C18",115.0765,153.3,"C18",115.076454,149.3,"M-H",NA,0.399734249697579,4,4,TRUE,""
"6","SALICYLAMIDE",NA,"C18_118.0298_146.2","C18",118.0298,146.2,"C18",118.02931,150.46866,"M-H2O-H",NA,4.15151117971641,-4.26866000000001,4.26866000000001,TRUE,""
"7","3-HYDROXYBENZALDEHYDE","yes","C18_121.0295_142.5","C18",121.0295,142.5,"C18",121.029524,145.47027,"M-H","C03067",-0.198298722518724,-2.97027,2.97027,FALSE,""
"8","4-HYDROXYBENZALDEHYDE","yes","C18_121.0295_142.5","C18",121.0295,142.5,"C18",121.029524,145.47027,"M-H","C00633",-0.198298722518724,-2.97027,2.97027,FALSE,""
"9","GLUTARATE",NA,"C18_131.0351_49.4","C18",131.0351,49.4,"C18",131.035024,36.5722704,"M-H","C00489",0.57999760435859,12.8277296,12.8277296,TRUE,""
"10","PYRUVIC ALDEHYDE",NA,"C18_131.035_176.5","C18",131.035,176.5,"C18",131.034951,164.68122,"M+Hac-H","C00546",0.373946032077913,11.81878,11.81878,TRUE,""
"11","PRENOL","yes","C18_131.0714_132.4","C18",131.0714,132.4,"C18",131.071401,127.711572,"M+FA-H","C01390",-0.00762942937853577,4.688428,4.688428,FALSE,""
"12","3-METHYLBUTANAL","yes","C18_131.0714_132.4","C18",131.0714,132.4,"C18",131.071401,127.711572,"M+FA-H","C07329",-0.00762942937853577,4.688428,4.688428,FALSE,""
"13","2-METHYLPROPANAL OXIME","yes","C18_131.0714_132.4","C18",131.0714,132.4,"C18",131.071351,127.711572,"M+Hac-H","C03219",0.373842183242587,4.688428,4.688428,FALSE,""
"14","BUTANAL","yes","C18_131.0714_132.4","C18",131.0714,132.4,"C18",131.071351,127.711572,"M+Hac-H","C01412",0.373842183242587,4.688428,4.688428,FALSE,""
"15","D-ASPARTATE",NA,"C18_132.0302_14.4","C18",132.0302,14.4,"C18",132.030224,41.5930044,"M-H","C00402",-0.181776560465801,-27.1930044,27.1930044,TRUE,""
"16","ADENINE",NA,"C18_134.0473_58.5","C18",134.0473,58.5,"C18",134.047224,61.399488,"M-H","C00147",0.566964370758401,-2.899488,2.899488,TRUE,""
"17","SALICYLAMIDE",NA,"C18_136.0404_141.9","C18",136.0404,141.9,"C18",136.040424,142.87515,"M-H",NA,-0.176418150506861,-0.975149999999985,0.975149999999985,TRUE,""
"18","6-HYDROXYNICOTINATE",NA,"C18_138.0197_154.9","C18",138.0197,154.9,"C18",138.019624,155.066244,"M-H","C01020",0.550646334227591,-0.166244000000006,0.166244000000006,TRUE,""
"19","4-ACETAMIDOBUTANOATE",NA,"C18_144.0667_57.6","C18",144.0667,57.6,"C18",144.066624,47.157576,"M-H","C02946",0.527533705565769,10.442424,10.442424,TRUE,""
"20","PRENOL","yes","C18_145.0871_136.6","C18",145.0871,136.6,"C18",145.087051,131.719536,"M+Hac-H","C01390",0.337728278659229,4.88046399999999,4.88046399999999,FALSE,""
"21","3-METHYLBUTANAL","yes","C18_145.0871_136.6","C18",145.0871,136.6,"C18",145.087051,131.719536,"M+Hac-H","C07329",0.337728278659229,4.88046399999999,4.88046399999999,FALSE,""
"22","2-METHYLBUTANAL","yes","C18_145.0871_136.6","C18",145.0871,136.6,"C18",145.087051,131.719536,"M+Hac-H","C02223",0.337728278659229,4.88046399999999,4.88046399999999,FALSE,""
"23","Citramalic acid",NA,"C18_147.0298_14.5","C18",147.0298,14.5,"C18",147.029897,41.9,"M-H","C00815",-0.659729769183569,-27.4,27.4,TRUE,""
"24","(RS)-MEVALONIC ACID LITHIUM SALT",NA,"C18_147.0664_58.1","C18",147.0664,58.1,"C18",147.066324,61.343928,"M-H","C00418",0.516773642745356,-3.243928,3.243928,TRUE,""
"25","PYRIDOXINE",NA,"C18_150.056_62.5","C18",150.056,62.5,"C18",150.05551,65.624586,"M-H2O-H","C00314",3.26545822951403,-3.12458599999999,3.12458599999999,TRUE,""
"26","RESORCINOL MONOACETATE",NA,"C18_151.0401_140.4","C18",151.0401,140.4,"C18",151.040124,157.635456,"M-H","C12064",-0.158898174608551,-17.235456,17.235456,FALSE,""
"27","2',4'-DIHYDROXYACETOPHENONE","yes -but different RT","C18_151.0401_140.4","C18",151.0401,140.4,"C18",151.040024,157.635456,"M-H","C03663",0.503177886194393,-17.235456,17.235456,FALSE,""
"28","4-HYDROXYPHENYLACETATE","yes","C18_151.0401_59.5","C18",151.0401,59.5,"C18",151.040024,63.656274,"M-H","C00642",0.503177886194393,-4.156274,4.156274,FALSE,""
"29","MANDELIC ACID","yes","C18_151.0401_59.5","C18",151.0401,59.5,"C18",151.040024,63.656274,"M-H","C01984",0.503177886194393,-4.156274,4.156274,FALSE,""
"30","2-HYDROXYPHENYLACETIC ACID","yes -but different RT","C18_151.0401_59.5","C18",151.0401,59.5,"C18",151.040024,63.656274,"M-H","C05852",0.503177886194393,-4.156274,4.156274,FALSE,""
"31","3,4-DIHYDROXYPHENYL GLYCOL",NA,"C18_151.0401_59.5","C18",151.0401,59.5,"C18",151.03951,63.656274,"M-H2O-H","C05576",3.90626267251742,-4.156274,4.156274,FALSE,""
"32","3,5-Dihydroxybenzoic acid",NA,"C18_153.0194_136","C18",153.0194,136,"C18",153.019333,133.3,"M-H",NA,0.437853169843392,2.69999999999999,2.69999999999999,TRUE,""
"33","2,3-DIHYDROXYBENZOATE",NA,"C18_153.0194_58.2","C18",153.0194,58.2,"C18",153.019324,61.64076,"M-H","C00196",0.496669296347491,-3.44076,3.44076,TRUE,""
"34","HYDROQUINONE",NA,"C18_155.0351_203.1","C18",155.0351,203.1,"C18",155.035001,175.788132,"M+FA-H","C00530",0.638565481131867,27.311868,27.311868,TRUE,""
"35","Levulinic acid",NA,"C18_156.0667_58.5","C18",156.0667,58.5,"C18",156.066618,60.1,"M+C2H3N-H",NA,0.525416652470305,-1.6,1.6,TRUE,""
"36","Erythronic acid",NA,"C18_157.0119_49.2","C18",157.0119,49.2,"C18",157.011841,48.8,"M+Na-2H",NA,0.375767837746377,0.400000000000006,0.400000000000006,TRUE,""
"37","ALLANTOIN",NA,"C18_157.0368_51.3","C18",157.0368,51.3,"C18",157.036724,50.390334,"M-H","C01551",0.483963228926442,0.909665999999994,0.909665999999994,TRUE,""
"38","INDOLE-3-ACETALDEHYDE",NA,"C18_158.0611_158.5","C18",158.0611,158.5,"C18",158.061124,154.88763,"M-H","C00637",-0.151839993218378,3.61237,3.61237,TRUE,""
"39","ALPHA-AMINOADIPATE","yes","C18_160.0615_15.9","C18",160.0615,15.9,"C18",160.061524,40.277292,"M-H","C00956",-0.149942343396963,-24.377292,24.377292,FALSE,""
"40","N-METHYL-L-GLUTAMATE","yes","C18_160.0615_15.9","C18",160.0615,15.9,"C18",160.061524,40.277292,"M-H","C01046",-0.149942343396963,-24.377292,24.377292,FALSE,""
"41","ALPHA-AMINOADIPATE","yes","C18_160.0615_55.5","C18",160.0615,55.5,"C18",160.061524,40.277292,"M-H","C00956",-0.149942343396963,15.222708,15.222708,FALSE,""
"42","N-METHYL-L-GLUTAMATE","yes","C18_160.0615_55.5","C18",160.0615,55.5,"C18",160.061524,40.277292,"M-H","C01046",-0.149942343396963,15.222708,15.222708,FALSE,""
"43","4-COUMARATE",NA,"C18_163.0401_58.3","C18",163.0401,58.3,"C18",163.040024,61.524438,"M-H","C00811",0.46614320914888,-3.22443800000001,3.22443800000001,TRUE,""
"44","1,5-Anhydrosorbitol",NA,"C18_163.0613_50.6","C18",163.0613,50.6,"C18",163.061198,54.7,"M-H","C07326",0.625532016502602,-4.1,4.1,FALSE,""
"45","3-Hydroxyisovaleric acid",NA,"C18_163.0613_50.6","C18",163.0613,50.6,"C18",163.061195,54.7,"M+FA-H",NA,0.64393002878886,-4.1,4.1,FALSE,""
"46","6-DEOXY-L-GALACTOSE (FUCOSE)","yes","C18_163.0613_50.6","C18",163.0613,50.6,"C18",163.061224,59.0364576,"M-H","C01019",0.466082604523125,-8.4364576,8.4364576,FALSE,""
"47","L-RHAMNOSE","yes","C18_163.0613_50.6","C18",163.0613,50.6,"C18",163.061224,59.0364576,"M-H","C00507",0.466082604523125,-8.4364576,8.4364576,FALSE,""
"48","4-PYRIDOXATE",NA,"C18_164.0354_59.8","C18",164.0354,59.8,"C18",164.03481,62.251224,"M-H2O-H","C00847",3.59679753350367,-2.451224,2.451224,TRUE,""
"49","DIHYDROXYMANDELIC ACID",NA,"C18_165.0192_133.4","C18",165.0192,133.4,"C18",165.01881,130.9713,"M-H2O-H","C05580",2.36336693986646,2.42869999999999,2.42869999999999,TRUE,""
"50","GLYCOLALDEHYDE DIMER",NA,"C18_165.0409_187.8","C18",165.0409,187.8,"C18",165.040501,189.515562,"M+FA-H",NA,2.41758839539261,-1.71556199999998,1.71556199999998,FALSE,""
"51","GLYCERATE","yes","C18_165.0409_187.8","C18",165.0409,187.8,"C18",165.040451,189.515562,"M+Hac-H","C00258",2.72054515897592,-1.71556199999998,1.71556199999998,FALSE,""
"52","D-GLYCERIC ACID","yes","C18_165.0409_187.8","C18",165.0409,187.8,"C18",165.040451,189.515562,"M+Hac-H","C00258",2.72054515897592,-1.71556199999998,1.71556199999998,FALSE,""
"53","PHENYLACETALDEHYDE",NA,"C18_165.0557_140.1","C18",165.0557,140.1,"C18",165.055701,133.4514,"M+FA-H","C00601",-0.00605856078533902,6.64859999999999,6.64859999999999,FALSE,""
"54","3-(2-HYDROXYPHENYL)PROPANOATE",NA,"C18_165.0557_140.1","C18",165.0557,140.1,"C18",165.055724,133.4514,"M-H","C01198",-0.145405438930729,6.64859999999999,6.64859999999999,FALSE,""
"55","BENZALDEHYDE",NA,"C18_165.0557_140.1","C18",165.0557,140.1,"C18",165.055751,133.4514,"M+Hac-H","C00261",-0.308986507140392,6.64859999999999,6.64859999999999,FALSE,""
"56","4-HYDROXY-3-METHOXYPHENYLGLYCOL",NA,"C18_165.0557_140.1","C18",165.0557,140.1,"C18",165.05521,133.4514,"M-H2O-H","C05594",2.96870362355374,6.64859999999999,6.64859999999999,FALSE,""
"57","4-HYDROXY-L-PHENYLGLYCINE","yes","C18_166.051_58","C18",166.051,58,"C18",166.050924,61.615212,"M-H","C12323",0.457690918833121,-3.615212,3.615212,FALSE,""
"58","PYRIDOXAL","yes","C18_166.051_58","C18",166.051,58,"C18",166.050924,61.615212,"M-H","C00250",0.457690918833121,-3.615212,3.615212,FALSE,""
"59","3,4-DIHYDROXYPHENYLACETATE",NA,"C18_167.0349_133.2","C18",167.0349,133.2,"C18",167.035024,149.63931,"M-H","C01161",-0.742359279090886,-16.43931,16.43931,TRUE,""
"60","N-ACETYL-L-LEUCINE",NA,"C18_172.098_58.3","C18",172.098,58.3,"C18",172.097924,62.262276,"M-H","C02710",0.441609045830619,-3.962276,3.962276,TRUE,""
"61","N-ACETYL-L-ASPARTIC ACID",NA,"C18_174.0406_14.6","C18",174.0406,14.6,"C18",174.040824,39.3615,"M-H","C01042",-1.28705435211262,-24.7615,24.7615,TRUE,""
"62","D-GLUCURONOLACTONE",NA,"C18_175.0247_62.1","C18",175.0247,62.1,"C18",175.024824,57.52185,"M-H","C02670",-0.708470930955308,4.57815,4.57815,TRUE,""
"63","FORMYL-L-METHIONYL PEPTIDE",NA,"C18_176.0387_58.5","C18",176.0387,58.5,"C18",176.038724,61.390998,"M-H","C03145",-0.136333639843068,-2.890998,2.890998,TRUE,""
"64","5-Phenylvaleric acid",NA,"C18_177.0921_161.2","C18",177.0921,161.2,"C18",177.092104,163.1,"M-H",NA,-0.0225871166922421,-1.90000000000001,1.90000000000001,TRUE,""
"65","CAFFEATE",NA,"C18_179.035_59.1","C18",179.035,59.1,"C18",179.035024,61.830066,"M-H","C01481",-0.134051983014504,-2.730066,2.730066,FALSE,""
"66","Vanillylmandelic acid",NA,"C18_179.035_59.1","C18",179.035,59.1,"C18",179.03441,61.830066,"M-H2O-H","C05584",3.29545588464431,-2.730066,2.730066,FALSE,""
"67","chiro-Inositol",NA,"C18_179.056_50.1","C18",179.056,50.1,"C18",179.056112,53.4,"M-H","C19891",-0.625502244801586,-3.3,3.3,TRUE,""
"68","METHYL VANILLATE","yes -but different RT","C18_181.0505_133.3","C18",181.0505,133.3,"C18",181.050624,152.42292,"M-H",NA,-0.684891315257598,-19.12292,19.12292,TRUE,""
"69","3-(4-HYDROXYPHENYL)LACTATE","yes -but different RT","C18_181.0507_58.2","C18",181.0507,58.2,"C18",181.050624,61.805292,"M-H","C03672",0.419772096488717,-3.605292,3.605292,FALSE,""
"70","PHENYLACETIC ACID",NA,"C18_181.0507_58.2","C18",181.0507,58.2,"C18",181.050601,61.805292,"M+FA-H","C07086",0.546808458293074,-3.605292,3.605292,FALSE,""
"71","4-AMINOBENZOATE","yes","C18_182.0457_128.9","C18",182.0457,128.9,"C18",182.045901,128.07696,"M+FA-H","C00568",-1.10411714227882,0.823039999999992,0.823039999999992,FALSE,""
"72","ANTHRANILATE","yes","C18_182.0457_128.9","C18",182.0457,128.9,"C18",182.045901,128.07696,"M+FA-H","C00108",-1.10411714227882,0.823039999999992,0.823039999999992,FALSE,""
"73","SALICYLAMIDE","yes","C18_182.0457_128.9","C18",182.0457,128.9,"C18",182.045901,128.07696,"M+FA-H",NA,-1.10411714227882,0.823039999999992,0.823039999999992,FALSE,""
"74","4-PYRIDOXATE",NA,"C18_182.0459_58.7","C18",182.0459,58.7,"C18",182.045924,61.43442,"M-H","C00847",-0.131834866155372,-2.73442,2.73442,TRUE,""
"75","2-Oxo-4-methylthiobutanoic acid",NA,"C18_182.9886_152.9","C18",182.9886,152.9,"C18",182.988815,153.2,"M+Cl","C01180",-1.17493520025904,-0.299999999999983,0.299999999999983,TRUE,""
"76","5-METHYLCYTOSINE HYDROCLORIDE",NA,"C18_184.0729_48.9","C18",184.0729,48.9,"C18",184.072751,49.514286,"M+Hac-H","C02376",0.80946255860159,-0.614286,0.614286,TRUE,""
"77","4-Hydroxycyclohexylcarboxylic acid",NA,"C18_184.0978_58.3","C18",184.0978,58.3,"C18",184.097918,58.7,"M+C2H3N-H",NA,-0.640963250797305,-0.400000000000006,0.400000000000006,TRUE,""
"78","10-HYDROXYDECANOATE",NA,"C18_187.1339_155.2","C18",187.1339,155.2,"C18",187.134024,139.817808,"M-H","C02774",-0.662626695825068,15.382192,15.382192,TRUE,""
"79","N-ACETYL-DL-GLUTAMIC ACID",NA,"C18_188.0564_19","C18",188.0564,19,"C18",188.056424,39.0211164,"M-H","C00624",-0.127621271774525,-20.0211164,20.0211164,TRUE,""
"80","3-Oxindole-3-acetate",NA,"C18_190.0509_58.4","C18",190.0509,58.4,"C18",190.050967,59.5,"M-H",NA,-0.352537011828893,-1.1,1.1,TRUE,""
"81","QUINATE",NA,"C18_191.056_19.5","C18",191.056,19.5,"C18",191.056124,41.2232136,"M-H","C00296",-0.649023948583658,-21.7232136,21.7232136,FALSE,""
"82","Dimethylmalonic acid","yes","C18_191.056_19.5","C18",191.056,19.5,"C18",191.05611,44.3,"M+Hac-H",NA,-0.575747093239112,-24.8,24.8,FALSE,""
"83","Dimethyl succinate","yes","C18_191.056_19.5","C18",191.056,19.5,"C18",191.05611,44.3,"M+FA-H",NA,-0.575747093239112,-24.8,24.8,FALSE,""
"84","4-METHYL-2-OXO-PENTANOIC ACID",NA,"C18_197.0433_58.4","C18",197.0433,58.4,"C18",197.043164,60.958068,"M-H+HCOONa","C00233",0.69020410166421,-2.558068,2.558068,TRUE,""
"85","1,5-Anhydrosorbitol",NA,"C18_199.0369_53.3","C18",199.0369,53.3,"C18",199.037874,54,"M+Cl","C07326",-4.89354101513943,-0.700000000000003,0.700000000000003,TRUE,""
"86","chiro-Inositol",NA,"C18_201.038_49.2","C18",201.038,49.2,"C18",201.038056,48.1,"M+Na-2H","C19891",-0.278554225577679,1.1,1.1,TRUE,""
"87","N-ACETYL-D-GALACTOSAMINE",NA,"C18_202.072_58.5","C18",202.072,58.5,"C18",202.07151,61.711542,"M-H2O-H","C05021",2.4248841413291,-3.211542,3.211542,TRUE,""
"88","3-Phenylpropionylglycine",NA,"C18_206.0821_132.9","C18",206.0821,132.9,"C18",206.082267,132.2,"M-H",NA,-0.810355992467276,0.700000000000017,0.700000000000017,TRUE,""
"89","N-ACETYL-L-PHENYLALANINE",NA,"C18_206.0821_59.3","C18",206.0821,59.3,"C18",206.082224,62.293638,"M-H","C03519",-0.601701581013455,-2.993638,2.993638,TRUE,""
"90","KYNURENINE","yes","C18_207.0774_58.5","C18",207.0774,58.5,"C18",207.077524,62.454798,"M-H","C00328",-0.598809555012687,-3.954798,3.954798,TRUE,""
"91","Ergothioneine",NA,"C18_210.0699_53.7","C18",210.0699,53.7,"C18",210.070107,54,"M-H-H2O","C05570",-0.985385321945819,-0.299999999999997,0.299999999999997,TRUE,""
"92","1-Deoxy-D-glucitol",NA,"C18_211.0827_56","C18",211.0827,56,"C18",211.082325,54,"M+FA-H",NA,1.77655803246971,2,2,TRUE,""
"93","FORMYL-L-METHIONYL PEPTIDE",NA,"C18_212.016_58.8","C18",212.016,58.8,"C18",212.0154,61.30392,"M+Cl","C03145",2.82998310496075,-2.50392,2.50392,TRUE,""
"94","O-ACETYL-L-SERINE",NA,"C18_214.0342_58.5","C18",214.0342,58.5,"C18",214.033364,50.718,"M-H+HCOONa","C00979",3.90593309551734,7.782,7.782,TRUE,""
"95","chiro-Inositol",NA,"C18_215.0327_50.5","C18",215.0327,50.5,"C18",215.032788,49,"M+Cl","C19891",-0.409239915566714,1.5,1.5,TRUE,""
"96","OMEGA-HYDROXYDODECANOIC ACID",NA,"C18_215.165_168","C18",215.165,168,"C18",215.165224,160.386702,"M-H","C08317",-1.04106042713895,7.61329799999999,7.61329799999999,TRUE,""
"97","D-PANTOTHENIC ACID",NA,"C18_218.1032_58.4","C18",218.1032,58.4,"C18",218.103424,61.625214,"M-H","C00864",-1.02703568744931,-3.225214,3.225214,TRUE,""
"98","L-CYSTATHIONINE",NA,"C18_221.0603_49.8","C18",221.0603,49.8,"C18",221.060124,45.8285022,"M-H","C02291",0.796163490844645,3.97149779999999,3.97149779999999,TRUE,""
"99","1,5-Anhydrosorbitol",NA,"C18_223.0819_53.6","C18",223.0819,53.6,"C18",223.082325,58.1,"M+Hac-H","C07326",-1.90512628020621,-4.5,4.5,TRUE,""
"100","D-(+)-GLUCOSAMINE","yes","C18_224.0773_84","C18",224.0773,84,"C18",224.077601,56.164146,"M+FA-H","C00329",-1.34328464173004,27.835854,27.835854,FALSE,""
"101","D-MANNOSAMINE","yes","C18_224.0773_84","C18",224.0773,84,"C18",224.077601,56.164146,"M+FA-H","C03570",-1.34328464173004,27.835854,27.835854,FALSE,""
"102","Ribonic acid","yes","C18_225.0615_49.2","C18",225.0615,49.2,"C18",225.061589,51.3,"M+Hac-H","C01685",-0.395447310214584,-2.09999999999999,2.09999999999999,FALSE,""
"103","chiro-Inositol","yes","C18_225.0615_49.2","C18",225.0615,49.2,"C18",225.061589,51.3,"M+FA-H","C19891",-0.395447310214584,-2.09999999999999,2.09999999999999,FALSE,""
"104","Levulinic acid",NA,"C18_231.088_54.2","C18",231.088,54.2,"C18",231.087412,60.4,"2M-H",NA,2.54449169214536,-6.2,6.2,TRUE,""
"105","3-Carboxy-4-methyl-5-propyl-2-furanpropionic acid",NA,"C18_239.0923_151.1","C18",239.0923,151.1,"C18",239.092498,148,"M-H",NA,-0.828131378725604,3.09999999999999,3.09999999999999,TRUE,""
"106","METHYL VANILLATE","yes","C18_241.072_147.3","C18",241.072,147.3,"C18",241.071751,141.628662,"M+Hac-H",NA,1.03288750740693,5.67133800000002,5.67133800000002,FALSE,""
"107","HOMOVANILLATE","yes","C18_241.072_147.3","C18",241.072,147.3,"C18",241.071751,141.628662,"M+Hac-H","C05582",1.03288750740693,5.67133800000002,5.67133800000002,FALSE,""
"108","3-(4-HYDROXYPHENYL)LACTATE","yes","C18_241.072_147.3","C18",241.072,147.3,"C18",241.071751,141.628662,"M+Hac-H","C03672",1.03288750740693,5.67133800000002,5.67133800000002,FALSE,""
"109","URIDINE",NA,"C18_243.0619_57.7","C18",243.0619,57.7,"C18",243.062224,61.477992,"M-H","C00299",-1.33299199952102,-3.777992,3.777992,TRUE,""
"110","3-Hydroxytetradecanoic acid",NA,"C18_243.1963_188.7","C18",243.1963,188.7,"C18",243.196569,189.3,"M-H",NA,-1.10610113090436,-0.600000000000023,0.600000000000023,TRUE,""
"111","5-Acetylamino-6-formylamino-3-methyluracil",NA,"C18_247.0441_142.8","C18",247.0441,142.8,"C18",247.044873,140.6,"M+Na-2H","C16365",-3.12898620652395,2.20000000000002,2.20000000000002,TRUE,""
"112","Palmitoleic acid",NA,"C18_253.217_209.8","C18",253.217,209.8,"C18",253.217304,212.5,"M-H","C08362",-1.20054986447474,-2.69999999999999,2.69999999999999,TRUE,""
"113","N-ACETYL-D-GLUCOSAMINE","yes","C18_256.0589_54.8","C18",256.0589,54.8,"C18",256.0593,55.251162,"M+Cl","C00140",-1.56213814539553,-0.451162000000004,0.451162000000004,FALSE,""
"114","N-ACETYL-D-MANNOSAMINE","yes","C18_256.0589_54.8","C18",256.0589,54.8,"C18",256.0593,55.251162,"M+Cl","C00645",-1.56213814539553,-0.451162000000004,0.451162000000004,FALSE,""
"115","N-ACETYL-D-GALACTOSAMINE","yes","C18_256.0589_54.8","C18",256.0589,54.8,"C18",256.0593,55.251162,"M+Cl","C05021",-1.56213814539553,-0.451162000000004,0.451162000000004,FALSE,""
"116","1-METHYLADENOSINE",NA,"C18_262.0953_154.1","C18",262.0953,154.1,"C18",262.09401,146.156886,"M-H2O-H","C02494",4.92189806239043,7.94311400000001,7.94311400000001,TRUE,""
"117","DEOXYCYTIDINE",NA,"C18_272.0887_50.2","C18",272.0887,50.2,"C18",272.088801,61.734432,"M+FA-H","C00881",-0.371202341298763,-11.534432,11.534432,TRUE,""
"118","THYMIDINE",NA,"C18_277.0593_58.3","C18",277.0593,58.3,"C18",277.0597,61.423392,"M+Cl","C00214",-1.44373216318822,-3.123392,3.123392,TRUE,""
"119","URIDINE",NA,"C18_279.0382_58.3","C18",279.0382,58.3,"C18",279.0389,62.243202,"M+Cl","C00299",-2.50861080657505,-3.943202,3.943202,TRUE,""
"120","STEARATE",NA,"C18_283.264_243.6","C18",283.264,243.6,"C18",283.264224,261.2478,"M-H","C01530",-0.790781118913515,-17.6478,17.6478,TRUE,""
"121","DEOXYURIDINE",NA,"C18_287.0882_58.3","C18",287.0882,58.3,"C18",287.088451,61.28013,"M+Hac-H","C00526",-0.874295009688171,-2.98013,2.98013,FALSE,""
"122","THYMIDINE",NA,"C18_287.0882_58.3","C18",287.0882,58.3,"C18",287.088501,61.28013,"M+FA-H","C00214",-1.04845717953662,-2.98013,2.98013,FALSE,""
"123","CARNOSINE",NA,"C18_293.0874_58.9","C18",293.0874,58.9,"C18",293.086764,54.810798,"M-H+HCOONa","C00386",2.17000587575449,4.089202,4.089202,TRUE,""
"124","3-Carboxy-4-methyl-5-propyl-2-furanpropionic acid",NA,"C18_299.1132_153.9","C18",299.1132,153.9,"C18",299.113625,144.9,"M+Hac-H",NA,-1.42086472994001,9,9,TRUE,""
"125","RETINOATE",NA,"C18_299.2011_194","C18",299.2011,194,"C18",299.201624,196.596408,"M-H","C00777",-1.75132739247574,-2.596408,2.596408,TRUE,""
"126","2-Hydroxystearate","yes","C18_299.2587_224.3","C18",299.2587,224.3,"C18",299.259169,196.9,"M-H","C03045",-1.56720344301163,27.4,27.4,FALSE,""
