"feature","identified_name","mean_no_severe_pgd","mean_severe_pgd","mean_overall","fold_change","p_value","p_value_fdr","unique_vals_no_severe","unique_vals_severe","unique_vals","unique_percentage","low_detect_likely","isomer","multi_mode_detection","n_no_severe_pgd","n_severe_pgd","sw_p_value","cv","gap_ratio","sig_ord","in_annot","annot_sig","annot_name","sig_ord_annot"
"HILIC_137.071_147.4","1-METHYLNICOTINAMIDE",21.4170933841477,21.879150157995,21.4767136130312,1.37750425373472,0.465642769135924,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.000149032111393811,0.0635172128840036,67.1243277810024,182,"Y","N",NA,NA
"HILIC_209.0921_156.5","L-KYNURENINE",19.439371568926,19.0186450883077,19.3850842811043,0.747048347420808,0.465928448945097,0.944431752443063,"54/54","8/8","62/62",100,"N","yes","",54,8,0.0540810017789808,0.0506674359470542,23.3206265173873,183,"Y","N",NA,NA
"HILIC_209.0921_156.5","KYNURENINE",19.439371568926,19.0186450883077,19.3850842811043,0.747048347420808,0.465928448945097,0.944431752443063,"54/54","8/8","62/62",100,"N","yes","",54,8,0.0540810017789808,0.0506674359470542,23.3206265173873,184,"Y","N",NA,NA
"HILIC_152.0564_162.3","GUANINE",16.3085542278574,15.9203567946295,16.2584642364732,0.764083688156689,0.472133221032703,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.00373287538350815,0.0606370718885537,42.1800015486933,185,"N","N",NA,NA
"C18_243.0619_57.7","URIDINE",19.6771552275243,19.544360028126,19.6600203630858,0.912062629968281,0.476699462416893,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.455056483284406,0.0228838274600451,12.758029264272,186,"Y","N",NA,NA
"HILIC_170.0924_193.2","Dihydrothymine",21.3698173118406,20.8894624186306,21.3078360352974,0.71680127405917,0.477910589697001,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.0826892256663698,0.0539373328792181,21.4245684542124,187,"Y","N",NA,NA
"C18_121.0295_142.5","3-HYDROXYBENZALDEHYDE",20.5667467528134,20.4617641122363,20.5532006056422,0.929816130684006,0.47859802020077,0.944431752443063,"54/54","8/8","62/62",100,"N","yes","",54,8,0.233648578405442,0.0213708609437818,15.7862984396163,188,"Y","N",NA,NA
"C18_121.0295_142.5","4-HYDROXYBENZALDEHYDE",20.5667467528134,20.4617641122363,20.5532006056422,0.929816130684006,0.47859802020077,0.944431752443063,"54/54","8/8","62/62",100,"N","yes","",54,8,0.233648578405442,0.0213708609437818,15.7862984396163,189,"Y","N",NA,NA
"C18_359.1858_164.8","CORTISONE",16.3102003974639,15.7300069042367,16.2353367209185,0.66887406246601,0.484459423322513,0.944431752443063,"50/54","7/8","57/62",91.9,"N",NA,"",54,8,8.83266206751086e-09,0.116021313396766,70.3935282338082,190,"Y","N",NA,NA
"HILIC_191.0914_75.7","CARNOSINE",16.0000961902441,15.1008589976499,15.8840655847481,0.536170149761336,0.489741840837785,0.944431752443063,"46/54","6/8","52/62",83.9,"N",NA,"",54,8,0.000165408303739936,0.195140106972611,46.5643685839515,191,"N","N",NA,NA
"C18_299.2011_194","RETINOATE",16.5539232822059,16.4744153673464,16.5436641964176,0.946380390133504,0.497178679245111,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.000125219454237384,0.0204400969510378,17.6090238528352,192,"Y","N",NA,NA
"C18_179.035_59.1","CAFFEATE",16.0806382782514,15.9242372623047,16.0604575020003,0.897260610684839,0.499786099874402,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.114097785842771,0.0321210637246531,36.9845084964217,193,"N","N",NA,NA
"C18_179.035_59.1","Vanillylmandelic acid",16.0806382782514,15.9242372623047,16.0604575020003,0.897260610684839,0.499786099874402,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.114097785842771,0.0321210637246531,36.9845084964217,194,"N","N",NA,NA
"HILIC_229.1546_155","L,L-Cyclo(leucylprolyl)",24.4639546807859,23.8279898456179,24.3818947020545,0.6435103086398,0.500083008045986,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.00154745575650367,0.0713960959698115,19.9920956235134,195,"N","N",NA,NA
"C18_160.0615_55.5","ALPHA-AMINOADIPATE",15.9414640923776,15.7353519988516,15.9148689835355,0.866870207413459,0.500755880308128,0.944431752443063,"54/54","8/8","62/62",100,"N","yes","",54,8,0.973250134327754,0.0420139909252596,24.1711708639522,196,"Y","N",NA,NA
"C18_160.0615_55.5","N-METHYL-L-GLUTAMATE",15.9414640923776,15.7353519988516,15.9148689835355,0.866870207413459,0.500755880308128,0.944431752443063,"54/54","8/8","62/62",100,"N","yes","",54,8,0.973250134327754,0.0420139909252596,24.1711708639522,197,"Y","N",NA,NA
"C18_181.0507_58.2","3-(4-HYDROXYPHENYL)LACTATE",17.0421426242057,17.3964537625163,17.0878601904394,1.2783750337707,0.504392272348741,0.944431752443063,"54/54","8/8","62/62",100,"N","yes -but different RT","",54,8,0.327746128099025,0.0641408885414531,20.9925377079358,198,"Y","N",NA,NA
"C18_181.0507_58.2","PHENYLACETIC ACID",17.0421426242057,17.3964537625163,17.0878601904394,1.2783750337707,0.504392272348741,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.327746128099025,0.0641408885414531,20.9925377079358,199,"Y","N",NA,NA
"C18_337.3108_282","ERUCIC ACID",15.1378701653854,15.7374562032591,15.2152361057562,1.5152817142204,0.504649998638059,0.944431752443063,"52/54","8/8","60/62",96.8,"N",NA,"",54,8,8.011583485858e-08,0.141807349771425,34.0458379610602,200,"Y","N",NA,NA
"HILIC_246.1699_88.7","Isovalerylcarnitine",23.1264491218711,23.4060721056056,23.1625295068691,1.21387762302035,0.505241258849958,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.0398221658477543,0.0384518144812832,12.1072692530202,201,"N","N",NA,NA
"C18_241.072_147.3","METHYL VANILLATE",21.5593988687656,21.6184150474741,21.5670138595667,1.04175511142019,0.507337078753602,0.944431752443063,"54/54","8/8","62/62",100,"N","yes","",54,8,0.0403516612909745,0.00933730905204633,11.877637233925,202,"N","N",NA,NA
"C18_241.072_147.3","HOMOVANILLATE",21.5593988687656,21.6184150474741,21.5670138595667,1.04175511142019,0.507337078753602,0.944431752443063,"54/54","8/8","62/62",100,"N","yes","",54,8,0.0403516612909745,0.00933730905204633,11.877637233925,203,"N","N",NA,NA
"C18_241.072_147.3","3-(4-HYDROXYPHENYL)LACTATE",21.5593988687656,21.6184150474741,21.5670138595667,1.04175511142019,0.507337078753602,0.944431752443063,"54/54","8/8","62/62",100,"N","yes","",54,8,0.0403516612909745,0.00933730905204633,11.877637233925,204,"N","N",NA,NA
"C18_184.0978_58.3","4-Hydroxycyclohexylcarboxylic acid",15.1600434039759,14.9867547641251,15.137683579479,0.886818861642339,0.512014114780773,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.0298298305147369,0.0342454650983414,10.5438519209688,205,"Y","N",NA,NA
"HILIC_162.1125_158.3","4-Hydroxycyclohexylcarboxylic acid",28.469440755846,28.1480567754682,28.4279718551521,0.800301778055036,0.51289560715661,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.24601592616304,0.0288330092304526,23.3870068872045,206,"Y","N",NA,NA
"HILIC_162.1125_158.3","Proline betaine",28.469440755846,28.1480567754682,28.4279718551521,0.800301778055036,0.51289560715661,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.24601592616304,0.0288330092304526,23.3870068872045,207,"Y","N",NA,NA
"C18_181.0505_133.3","METHYL VANILLATE",15.9224500262556,15.7824219162692,15.9043818830316,0.907501473061474,0.513890837777179,0.944431752443063,"54/54","8/8","62/62",100,"N","yes -but different RT","",54,8,0.281969622672591,0.0385892299794048,23.690718465068,208,"N","N",NA,NA
"C18_279.0382_58.3","URIDINE",17.8092804133493,17.9953789875264,17.8332931325979,1.13768295901261,0.514134819138858,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.0378565207267999,0.056912824323299,12.2217226166812,209,"N","N",NA,NA
"C18_166.051_58","4-HYDROXY-L-PHENYLGLYCINE",15.9217791963189,16.0617616407714,15.939841447216,1.1018917073395,0.517188283594824,0.944431752443063,"54/54","8/8","62/62",100,"N","yes","",54,8,0.000415467638844568,0.0232281987021464,42.5231686206762,210,"Y","N",NA,NA
"C18_166.051_58","PYRIDOXAL",15.9217791963189,16.0617616407714,15.939841447216,1.1018917073395,0.517188283594824,0.944431752443063,"54/54","8/8","62/62",100,"N","yes","",54,8,0.000415467638844568,0.0232281987021464,42.5231686206762,211,"Y","N",NA,NA
"HILIC_385.1286_174.4","S-(5'-ADENOSYL)-L-HOMOCYSTEINE",18.3343861011409,18.4184157018992,18.345228630271,1.05997453139472,0.518819754046836,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.490339551562738,0.0206880620188434,21.9589594708685,212,"Y","N",NA,NA
"HILIC_113.1074_162.5","N-ACETYLPUTRESCINE",17.8548612994334,18.0719823851703,17.8828769233994,1.16241166491079,0.527317164834753,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.00240321779673119,0.063651690136054,35.8468467286234,213,"N","N",NA,NA
"HILIC_132.0655_181.6","chiro-Inositol",17.5976748668832,17.3346674807433,17.5637384299619,0.83334894066666,0.528978486486571,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.706249538939799,0.0568495481046064,12.1076749241896,214,"Y","N",NA,NA
"C18_421.136_134.4","RIBOFLAVIN",16.6928127993402,16.7980486065835,16.7063916131781,1.0756701934424,0.539747598218523,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,2.17200103972037e-05,0.0226224515696544,51.5832200986026,215,"N","N",NA,NA
"HILIC_103.039_158.1","2-OXOBUTANOATE",20.5482325996169,20.221987667014,20.506136479281,0.797609814631162,0.540380081670002,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.00813849714846637,0.0399651201230652,36.4269941163494,216,"Y","N",NA,NA
"C18_272.0887_50.2","DEOXYCYTIDINE",15.8381000806103,14.9883428440128,15.7284539855655,0.554878097942341,0.541722426011054,0.944431752443063,"47/54","6/8","53/62",85.5,"N",NA,"",54,8,2.59091807819258e-09,0.178737620727805,143.409220072838,217,"Y","N",NA,NA
"HILIC_171.0764_213.4","Ribothymidine",19.0391350377659,18.3244449247075,18.9469169586615,0.609336001485343,0.546557802143074,0.944431752443063,"53/54","7/8","60/62",96.8,"N",NA,"",54,8,3.27500791826569e-07,0.0984783988917189,113.882879066576,218,"N","N",NA,NA
"HILIC_192.0623_104.1","PYRIDOXINE",14.3592076669398,13.8786392679001,14.2971988412572,0.716695201796791,0.55145426016718,0.944431752443063,"53/54","7/8","60/62",96.8,"N",NA,"",54,8,2.62252612565019e-10,0.0849922809740854,114.830736597961,219,"N","N",NA,NA
"HILIC_180.1121_68.7","12,13-DiHOME",21.7807545259662,21.6874639398857,21.7687170309881,0.937382270914314,0.554945949921186,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,1.91201899045707e-06,0.0162479302039885,72.2071414840632,220,"N","N",NA,NA
"HILIC_192.0243_119.4","N-ACETYL-DL-SERINE",15.4643853945512,15.9702002132317,15.529651822768,1.41992508822977,0.559545964602737,0.944431752443063,"50/54","7/8","57/62",91.9,"N",NA,"",54,8,4.98591792257236e-06,0.114434313275273,68.9670463712328,221,"N","N",NA,NA
"HILIC_208.0969_77.8","N-ACETYL-L-PHENYLALANINE",16.1974116214286,16.4465395677943,16.2295571628951,1.1884885022736,0.5620599796156,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.122688980631827,0.0594112451739331,17.3834526572691,222,"N","N",NA,NA
"C18_514.2835_143.2","Taurocholic acid",16.1621822604098,15.3532010666193,16.0577975902433,0.570784793963572,0.564674418989223,0.944431752443063,"51/54","7/8","58/62",93.5,"N",NA,"",54,8,2.64144873959363e-06,0.173992687185723,60.8460743851671,223,"Y","N",NA,NA
"HILIC_414.3004_68.8","Deoxycholic acid glycine conjugate",17.2165476343476,17.9965502682312,17.3171931354939,1.71713400779101,0.576549828149444,0.944431752443063,"45/54","7/8","52/62",83.9,"N",NA,"",54,8,4.48764617115796e-06,0.194535752899816,39.9036788321762,224,"N","N",NA,NA
"HILIC_177.0246_190.8","L-ASPARAGINE",16.8443126696896,17.0062311271499,16.8652053738781,1.11877386505173,0.577789147093565,0.944431752443063,"54/54","8/8","62/62",100,"N","yes -but different time","",54,8,0.11444069430496,0.0361332648013951,11.9185572299405,225,"N","N",NA,NA
"HILIC_189.1597_190.5","NEPSILON,NEPSILON,NEPSILON-TRIMETHYLLYSINE",17.9671699462912,18.4393377293139,18.02809482152,1.38719228789593,0.578746516890612,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.485635727075804,0.0768022439728757,10.1784661893426,226,"Y","N",NA,NA
"HILIC_165.0637_174.9","Ectoine",15.279474802592,14.1927651055419,15.1392541965211,0.47083396520723,0.58766975774685,0.944431752443063,"49/54","6/8","55/62",88.7,"N",NA,"",54,8,1.52449793097029e-09,0.242330364260618,55.694963122867,227,"N","N",NA,NA
"HILIC_624.8471_172","PHYTIC ACID",18.5567294261535,18.4703229255872,18.545580200274,0.941865851943892,0.596070841322489,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.952697137982024,0.0181306835982943,12.661041702603,228,"N","N",NA,NA
"HILIC_304.1015_168.1","1-METHYLADENOSINE",13.9820046254326,13.4226711886599,13.9098325690748,0.67861562965458,0.598440298826632,0.944431752443063,"45/54","6/8","51/62",82.3,"N",NA,"",54,8,3.4798833854156e-08,0.173644400252481,98.1225634926545,229,"Y","N",NA,NA
"C18_256.0589_54.8","N-ACETYL-D-GLUCOSAMINE",16.8417047604658,16.721097705227,16.8261425597898,0.919800536778788,0.6009121093191,0.944431752443063,"54/54","8/8","62/62",100,"N","yes","",54,8,0.0001132020771917,0.0208772532117993,44.7898343762748,230,"Y","N",NA,NA
"C18_256.0589_54.8","N-ACETYL-D-MANNOSAMINE",16.8417047604658,16.721097705227,16.8261425597898,0.919800536778788,0.6009121093191,0.944431752443063,"54/54","8/8","62/62",100,"N","yes","",54,8,0.0001132020771917,0.0208772532117993,44.7898343762748,231,"Y","N",NA,NA
"C18_256.0589_54.8","N-ACETYL-D-GALACTOSAMINE",16.8417047604658,16.721097705227,16.8261425597898,0.919800536778788,0.6009121093191,0.944431752443063,"54/54","8/8","62/62",100,"N","yes","",54,8,0.0001132020771917,0.0208772532117993,44.7898343762748,232,"Y","N",NA,NA
"C18_299.2587_224.3","2-Hydroxystearate",17.8113566560135,17.9504651133236,17.8293061343761,1.101224381598,0.602225448243211,0.944431752443063,"54/54","8/8","62/62",100,"N","yes","",54,8,0.863875811593789,0.0426272494217761,22.204310357634,233,"N","N",NA,NA
"C18_299.2587_224.3","12-Hydroxystearic acid",17.8113566560135,17.9504651133236,17.8293061343761,1.101224381598,0.602225448243211,0.944431752443063,"54/54","8/8","62/62",100,"N","yes","",54,8,0.863875811593789,0.0426272494217761,22.204310357634,234,"N","N",NA,NA
"HILIC_263.1112_182","L-ANSERINE",15.2275649647567,14.7618770663847,15.1674762036765,0.724125721075277,0.604621248054894,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,7.8396264295334e-09,0.0998975708039892,79.4435711052185,235,"N","N",NA,NA
"HILIC_291.038_153.2","2'-DEOXYURIDINE 5'-MONO-PHOS-PHATE",17.1966487403,17.3036649112815,17.2104572784912,1.07699844806121,0.609481218451757,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.000555225461216918,0.0345247986540912,22.6980749571109,236,"Y","N",NA,NA
"HILIC_198.0852_189.4","CITRULLINE",15.5610581019572,16.2001138370992,15.6435169064916,1.55730954396596,0.617851825106151,0.944431752443063,"48/54","7/8","55/62",88.7,"N",NA,"",54,8,2.19880615461107e-08,0.175950306081809,75.9311473939878,237,"N","N",NA,NA
"HILIC_232.1543_96.4","Isobutyryl-L-carnitine",23.962601466229,24.2108380527925,23.9946319935275,1.18775442913202,0.619217042632323,0.944431752443063,"54/54","8/8","62/62",100,"N","yes","",54,8,0.537284579937136,0.0391431745404457,11.2211300329634,238,"N","N",NA,NA
"HILIC_232.1543_96.4","Butyrylcarnitine",23.962601466229,24.2108380527925,23.9946319935275,1.18775442913202,0.619217042632323,0.944431752443063,"54/54","8/8","62/62",100,"N","yes","",54,8,0.537284579937136,0.0391431745404457,11.2211300329634,239,"N","N",NA,NA
"HILIC_415.2114_49.2","Tyrosol",27.8606320061872,27.9672064716702,27.8743835501205,1.07666875723537,0.62423164200126,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,7.45512078338613e-05,0.0116678367709783,66.3250931461793,240,"N","N",NA,NA
"C18_175.0247_62.1","D-GLUCURONOLACTONE",15.3583932402634,14.8231022629736,15.2893234367421,0.690019492570562,0.629773401389277,0.944431752443063,"51/54","6/8","57/62",91.9,"N",NA,"",54,8,4.71065971995697e-05,0.136401774638652,16.1782797748429,241,"Y","N",NA,NA
"C18_383.3161_202.3","ERUCIC ACID",16.2829608847478,16.1909076279176,16.2710830451568,0.938186562871731,0.629898248043522,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.264792720526128,0.02431053639416,7.07085253047784,242,"N","N",NA,NA
"HILIC_206.0668_20.5","LIPOAMIDE",17.1450867077211,17.0523960816061,17.133126626932,0.937772172295799,0.633583744095741,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,2.64691895608694e-05,0.0190276331427755,14.6511757408081,243,"Y","N",NA,NA
"C18_262.0953_154.1","1-METHYLADENOSINE",18.5178169244379,18.5405806901029,18.5207541845237,1.01590378004313,0.63991820259555,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.0444804274876265,0.00732273815893506,7.06967228769859,244,"N","N",NA,NA
"HILIC_339.178_178.8","N(PAI)-METHYL-L-HISTIDINE",14.5553030405731,14.1189886817572,14.4990044136291,0.739020167868124,0.640022847076983,0.944431752443063,"49/54","6/8","55/62",88.7,"N",NA,"",54,8,2.64409916071496e-06,0.122372161370207,80.9997978688728,245,"N","N",NA,NA
"C18_103.0401_55.4","3-HYDROXYBUTANOIC ACID",21.4601470032947,21.7301161238663,21.4949817285298,1.2057820188698,0.644637781338069,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.111440388885737,0.0493379132346404,18.2665544343594,246,"Y","N",NA,NA
"HILIC_130.0652_61.3","QUINOLINE",16.2800571999408,15.5892483888864,16.1909205791596,0.619506441733648,0.646401650124301,0.944431752443063,"49/54","7/8","56/62",90.3,"N",NA,"",54,8,5.68875486308605e-07,0.223091269798314,98.8405451385172,247,"N","N",NA,NA
"HILIC_115.0542_50.9","3-Methylindole",16.8403976839261,16.9510199273098,16.854671521782,1.07969381478103,0.647839288920552,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.30085373303515,0.0368986870784477,29.4091908743496,248,"N","N",NA,NA
"HILIC_160.0758_154.5","SEROTONIN",16.2078127488483,16.3704995790027,16.2288045979005,1.11936987753115,0.652581228912321,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.0029642856125082,0.0568801997176611,18.309834310612,249,"N","N",NA,NA
"C18_182.9886_152.9","2-Oxo-4-methylthiobutanoic acid",20.1484091733555,19.0930345891134,20.0122318076468,0.481172272793913,0.654293181769709,0.944431752443063,"47/54","6/8","53/62",85.5,"N",NA,"",54,8,2.47472828683685e-07,0.226747577468695,43.681996938656,250,"N","N",NA,NA
"HILIC_880.3435_170.9","N-Acetylmuramate",15.2098260395384,15.0914176564057,15.194547538489,0.921203384598654,0.659843919102975,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.0909712162679932,0.0304769698841384,44.6895396137105,251,"N","N",NA,NA
"HILIC_286.1437_49.1","Piperine",23.2675999512971,22.7481620628037,23.2005757076206,0.697643600317526,0.663533722449223,0.944431752443063,"51/54","7/8","58/62",93.5,"N",NA,"",54,8,0.000281452106405122,0.102165064083293,19.229326562696,252,"Y","N",NA,NA
"HILIC_191.0401_187.8","L-GLUTAMINE",20.4072620206106,20.3324702779365,20.3976114731688,0.949479171204635,0.66498031938943,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.00966596145144365,0.0173459352907004,11.9186089574648,253,"N","N",NA,NA
"HILIC_283.05_152.8","MELANIN",21.515065899365,21.6004011735067,21.5260769024801,1.06093426782553,0.669868761065104,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,5.26841451332662e-06,0.0271209307192997,18.1649087736694,254,"N","N",NA,NA
"HILIC_283.05_152.8","BIOTIN",21.515065899365,21.6004011735067,21.5260769024801,1.06093426782553,0.669868761065104,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,5.26841451332662e-06,0.0271209307192997,18.1649087736694,255,"N","N",NA,NA
"HILIC_186.0761_158","N-ACETYL-D-GLUCOSAMINE",17.2656458540759,17.1565803054114,17.2515728800547,0.927188418791349,0.671107882724364,0.944431752443063,"54/54","8/8","62/62",100,"N","yes","",54,8,0.537207987801633,0.0317104188788093,8.01150345773928,256,"N","N",NA,NA
"HILIC_186.0761_158","N-ACETYL-D-GALACTOSAMINE",17.2656458540759,17.1565803054114,17.2515728800547,0.927188418791349,0.671107882724364,0.944431752443063,"54/54","8/8","62/62",100,"N","yes","",54,8,0.537207987801633,0.0317104188788093,8.01150345773928,257,"N","N",NA,NA
"HILIC_186.0761_158","N-ACETYL-D-MANNOSAMINE",17.2656458540759,17.1565803054114,17.2515728800547,0.927188418791349,0.671107882724364,0.944431752443063,"54/54","8/8","62/62",100,"N","yes","",54,8,0.537207987801633,0.0317104188788093,8.01150345773928,258,"N","N",NA,NA
"HILIC_132.0767_178","N-Methylhydantoin",22.2805930431031,22.0502220870182,22.2508677584469,0.852415684359318,0.671385645499031,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.36370433661,0.038399996865584,30.2963727931244,259,"Y","N",NA,NA
"HILIC_130.0499_188.4","Ribothymidine",21.9086263342459,22.0957977795657,21.9327774884807,1.13852932026261,0.672896582294969,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.428034397640401,0.0359764491514208,7.25886701767399,260,"N","N",NA,NA
"HILIC_130.0499_188.4","1,2,3-Propanetricarboxylic acid",21.9086263342459,22.0957977795657,21.9327774884807,1.13852932026261,0.672896582294969,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.428034397640401,0.0359764491514208,7.25886701767399,261,"N","N",NA,NA
"C18_223.0819_53.6","1,5-Anhydrosorbitol",14.6638762610362,14.2984076063785,14.6167190152739,0.776216682648693,0.673088507180396,0.944431752443063,"51/54","7/8","58/62",93.5,"N",NA,"",54,8,0.12573134443638,0.122205688837899,15.4572445665002,262,"Y","N",NA,NA
"C18_239.0923_151.1","3-Carboxy-4-methyl-5-propyl-2-furanpropionic acid",18.1865400099316,18.440524171841,18.2193121598554,1.19249578088762,0.674656069520052,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.00763474561442043,0.0655273033804218,27.2299282161938,263,"N","N",NA,NA
"HILIC_135.0908_122.5","Docosadienoate (22:2n6)",24.1691499631367,24.2060667631174,24.1739134211987,1.02591897902846,0.680379255907893,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.0200463486232091,0.00746520980203551,8.29008016842355,264,"N","N",NA,NA
"HILIC_150.0138_189.9","L-SERINE",16.3520441879573,16.2638261663322,16.340661217425,0.940683939603828,0.68156627281661,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.0281065232777971,0.037343734333542,11.9201119946432,265,"N","N",NA,NA
"HILIC_146.0922_150.3","4-GUANIDINOBUTANOATE",16.543832787812,16.7163238741215,16.5660897021746,1.12700278942932,0.690929442315472,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.617541909217519,0.0644850016239377,12.6110309332566,266,"N","N",NA,NA
"HILIC_132.1019_149.3","Isovalerylcarnitine",24.7802600591519,25.0012776423372,24.8087784569823,1.16555540352875,0.692213559767098,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.961553840634633,0.061885848666085,16.5693592990235,267,"Y","N",NA,NA
"HILIC_133.0752_120.6","gamma-CEHC",21.9923865748736,22.025187667128,21.9966189738741,1.0229964170981,0.695080486066933,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.00174281650121443,0.00806241357225515,6.83429876265717,268,"N","N",NA,NA
"HILIC_282.1418_49.1","Ureidopropionic acid",20.7909300523902,20.8728286035932,20.8014976073841,1.05840996598336,0.697063137332657,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.000107419670047199,0.0150402620296397,78.9721954018638,269,"N","N",NA,NA
"HILIC_295.1179_49.3","N-Methylnicotinamide",21.5757867842236,21.6638079859025,21.5871443586338,1.06291129466484,0.69851451435341,0.944431752443063,"54/54","8/8","62/62",100,"N",NA,"",54,8,5.03635301824808e-05,0.0156115367616492,66.6308102341156,270,"N","N",NA,NA
"HILIC_280.0921_186.4","Glycerophosphocholine",14.1605928725313,14.6657085347404,14.2257690870099,1.41923713320618,0.698734013193848,0.944431752443063,"49/54","7/8","56/62",90.3,"N",NA,"",54,8,2.02897089804421e-05,0.196820142799056,53.4005946664529,271,"N","N",NA,NA
"HILIC_138.055_62.4","ANTHRANILATE",17.9432015886772,17.2747196691371,17.8569458571236,0.629168383502886,0.703865005519617,0.944431752443063,"46/54","6/8","52/62",83.9,"N","yes","",54,8,5.24239996164706e-05,0.218047440583372,26.3975254178712,272,"N","N",NA,NA
"HILIC_138.055_62.4","4-AMINOBENZOATE",17.9432015886772,17.2747196691371,17.8569458571236,0.629168383502886,0.703865005519617,0.944431752443063,"46/54","6/8","52/62",83.9,"N","yes","",54,8,5.24239996164706e-05,0.218047440583372,26.3975254178712,273,"N","N",NA,NA
